Бакалавриат. Каким образом можно подать документы в МФТИ?,"<p>Вначале нужно заполнить анкету на <a href=""http://pk.mipt.ru"">сайте приемной комиссии МФТИ</a>, распечатать и подписать заявление, которое формируется автоматически после заполнения анкеты. После этого заявление с необходимым комплектом документов вы можете подать:</p><p> </p><p></p><p>При личной подаче документов заявление также можно будет распечатать в Приемной комиссии МФТИ. </p><p>По электронной почте документы не принимаются, кроме случаев, оговоренных в <a href=""http://pk.mipt.ru/bachelor/2020_rules/#3"">п. 3.3 Правил приема 2020 года</a>.</p><p>Родители абитуриентов могут подавать документы только при наличии доверенности, даже если абитуриент несовершеннолетний.</p>"
Бакалавриат. Какие документы необходимо иметь при себе?,"<p>В приёмную комиссию абитуриент предоставляет следующие документы: </p><p> </p><p></p><p>Если вы хотите подавать копию аттестата, но еще не подали её в другой вуз, рекомендуем иметь при себе оригинал. Сотрудники приёмной комиссии отсканируют ваши документы и вернут вам их. Сканы с копий получаются некачественными.</p><p>Сертификаты ЕГЭ больше не выдаются. Документы, подтверждающие ваши баллы, не требуются. Баллы указываются в заявлении и проверяются приёмной комиссией по федеральной базе.</p>"
Бакалавриат. Предоставляют ли на время приема документов общежитие?,"<p>На время приемной кампании иногородним абитуриентам предоставляется общежитие в соответствии с регламентом. Поселение проводится только при наличии мест, вопрос решается в момент поселения абитуриента. С Регламентом поселения абитуриентов в общежития в 2019 году можно ознакомиться по <a href=""https://pk.mipt.ru/news/701/"">ссылке</a>. </p><p>Забронировать место заранее нельзя.</p>"
Бакалавриат. Когда проходит День открытых дверей в МФТИ?,"<p>В 2019/2020 учебном году Дни открытых дверей состоятся:</p><p> </p><p></p><p>Программа Дня открытых дверей (ДОД) публикуется в новостях на <a href=""http://mipt.ru"">официальном сайте МФТИ</a> примерно за месяц до мероприятия.</p>"
Бакалавриат. О собеседовании,"<p>Собеседование – традиционное мероприятие при поступлении в МФТИ. Собеседования проводят физтех-школы, чтобы познакомиться с абитуриентами, узнать их мотивацию, научные интересы и сориентировать их на то или иное направление. Собеседование проводится только на физтех-школах, которые указаны в качестве основных. Собеседование определяет распределение студентов по образовательным программам, а в некоторых случаях и по базовым кафедрам. Со стороны физтех-школы на собеседовании, как правило, присутствуют: директор физтех-школы и его заместители, представители ректората, институтских и базовых кафедр и другие приглашенные. Собеседование в каждой физтех-школе проходит по-разному. Подробности можно узнать в физтех-школе. Ознакомиться со спецификой физтех-школ можно по <a href=""https://pk.mipt.ru/schools/"">ссылке</a>. </p>"
"Бакалавриат. Когда и где проводится собеседование? Как узнать, во сколько нужно явиться именно мне? Можно записаться на собеседование, просто я далеко живу мне нужно точно знать?","<p><span style=""color: rgb(44, 44, 56); font-family: Helvetica, Arial, sans-serif; font-size: 14px; text-align: justify; background-color: rgb(255, 255, 255);"">Собеседование проводится в два потока: 1 поток - в середине июля, 2 поток - обычно 26 июля. К 1 потоку относятся абитуриенты с результатами ЕГЭ и олимпиад, подавшие документы в определенный период до собеседования в соответствии с установленным графиком. Ко 2 потоку относятся абитуриенты с результатами ЕГЭ и олимпиад, подавшие документы позже, а также сдающие вступительные испытания в МФТИ. Более подробная информация публикуется в </span><a href=""/bachelor/2020_schedule/index.php"">графике работы приёмной комиссии</a> в срок до 01 июня<span style=""color: rgb(44, 44, 56); font-family: Helvetica, Arial, sans-serif; font-size: 14px; text-align: justify; background-color: rgb(255, 255, 255);"">.</span></p><p>Аудитории и конкретное время для каждого абитуриента появляются на сайтах физтех-школ за несколько дней до собеседования. На собеседование записаться нельзя, но можно оставить свои пожелания представителям физтех-школы при подаче документов.</p>"
Бакалавриат. Что такое экзаменационный лист и расписка? Какие экзамены кроме ЕГЭ мне нужно сдавать в МФТИ?,"<p>Экзаменационный лист – это документ с вашей фотографией, условиями поступления и зачтёнными баллами, подтверждающий факт того, что вы подали документы и являетесь абитуриентом МФТИ, даёт право на вход в корпуса и общежития.</p><p>Расписка – документ, подтверждающий сдачу вами определённых документов в приёмную комиссию (например, аттестат). Расписка нужна только в случае, когда вы забираете документы.</p><p>Если вы зачли результаты ЕГЭ и олимпиад, то никакие дополнительные вступительные экзамены для вас не предусмотрены, останется пройти только собеседование.</p><p>Если вы подавали документы лично и не получили экзаменационный лист и расписку, то значит вы не закончили процедуру подачи документов в МФТИ.</p><p>В случае утери экзаменационного листа и (или) расписки, необходимо немедленно сообщить об этом в приёмную комиссию.</p>"
"Бакалавриат. Какие экзамены мне нужно сдать, чтобы поступить на ту или иную физтех-школу?","<p>Прием в МФТИ осуществляется по результатам ЕГЭ по русскому языку, математике, физике, информатике, химии и биологии. Перечень вступительных испытаний зависит от конкурсной группы. Соответствие приведено <a href=""https://pk.mipt.ru/bachelor/exams/"">по ссылке</a>. </p>"
Бакалавриат. Можно поступить в МФТИ на заочную форму обучения?,"<p style=""text-align: left;"">Нет, нельзя. В МФТИ форма обучения – только очная дневная. Других форм нет.</p>"
Бакалавриат. Сколько стоит обучение по договору?,"<p style=""text-align: left;"">Стоимость обучения на 2020/2021 учебный год будет опубликована до 01 июня. Стоимость обучения в 2019/2020 учебном году зависит от гражданства, направления подготовки и языка реализации образовательной программы. Ознакомиться со стоимостью обучения можно по <a href=""https://pk.mipt.ru/bachelor/2020_cost/"">ссылке</a>.</p>"
